,0,,,,1
0,(vertigo) Paroymsal  Positional Vertigo,,,,ENT Specialist
1,AIDS,,,,Infectious disease Specialist
2,Acne,,,,dermatologist
3,Alcoholic hepatitis,,,,Gastroenteologist
4,Allergy,,,,allergist
5,Arthritis,,,,Rheumatologist
6,Bronchial Asthma,,,,Pulmanologist
7,Cervical spondylosis,,,,Orthopedician
8,Chicken pox,,,,Infectious disease Specialist
9,Chronic cholestasis,,,,Orthopedician
10,Common Cold,,,,General physician
11,Dengue,,,,Infectious disease Specialist
12,Diabetes ,,,,ENT Specialist
13,Dimorphic hemmorhoids(piles),,,,Colorectal Surgeon
14,Drug Reaction,,,,dermatologist
15,Fungal infection,,,,dermatologist
16,GERD,,,,Gastroenteologist
17,Gastroenteritis,,,,Gastroenteologist
18,Heart attack,,,,cardeologist
19,Hepatitis B,,,,hepatologist
20,Hepatitis C,,,,hepatologist
21,Hepatitis D,,,,hepatologist
22,Hepatitis E,,,,hepatologist
23,Hypertension ,,,,cardeologist/physical therapist
24,Hyperthyroidism,,,,ENT Specialist
25,Hypoglycemia,,,,ENT Specialist
26,Hypothyroidism,,,,ENT Specialist
27,Impetigo,,,,dermatologist
28,Jaundice,,,,Gastroenteologist
29,Malaria,,,,Infectious disease Specialist
30,Migraine,,,,neurologist
31,Osteoarthristis,,,,Rheumatologist
32,Paralysis (brain hemorrhage),,,,neurologist
33,Peptic ulcer diseae,,,,Gastroenteologist
34,Pneumonia,,,,Pulmanologist
35,Psoriasis,,,,dermatologist
36,Tuberculosis,,,,Pulmanologist
37,Typhoid,,,,Infectious disease Specialist
38,Urinary tract infection,,,,urologist
39,Varicose veins,,,,vascular surgeon
40,hepatitis A,,,,hepatologist
